ROW_LABEL|Cylindré|Puissance|Vitesse|Poids|Longueur|Largeur
"Honda civic         "|1396|90|174|850|369|166
"Peugeot 205 Rallye  "|1294|103|189|805|370|157
"Seat Ibiza SX I     "|1461|100|181|925|363|161
"Citroën AX Sport    "|1294|95|184|730|350|160
"Renault 19          "|1721|92|180|965|415|169
"Fiat Tipo           "|1580|83|170|970|395|170
"Peugeot 405         "|1769|90|180|1080|440|169
"Renault 21          "|2068|88|180|1135|446|170
"Citroën BX          "|1769|90|182|1060|424|168
"Opel Omega          "|1998|122|190|1255|473|177
"Peugeot 405 Break   "|1905|125|194|1120|439|171
"Ford Sierra         "|1993|115|185|1190|451|172
"Renault Espace      "|1995|120|177|1265|436|177
"Nissan Vanette      "|1952|87|144|1430|436|169
"VW Caravelle        "|2109|112|149|1320|457|184
"Audi 90 Quattro     "|1994|160|214|1220|439|169
"BMW 530i            "|2986|188|226|1510|472|175
"Rover 827i          "|2675|177|222|1365|469|175
"Renault 25          "|2548|182|226|1350|471|180
"BMW 325iX           "|2494|171|208|1600|432|164
"Ford Scorpio        "|2933|150|200|1345|466|176
"Fiat Uno            "|1116|58|145|780|364|155
"Peugeot 205         "|1580|80|159|880|370|156
"Ford Fiesta         "|1117|50|135|810|371|162
